Kalyxo (Light World),,,,,,,,,Eon Abyss (Dark World),,,,,,,
,,,,,,,,,,,,,,,,
6,6,7,5,10,5,5,5,,18,18,17, , , , , 
6,6,7,3,3,D,10,3,,18,18,16,14,14,14, , 
F,4,4,3,3,0,D,1,,15,16,16,14,14,18, , 
7,7,1,2,1,4,E,E,,16,16,16,16,16,16,17,17
7,7,3B,A,A,4,E,E,,16,16,16,16,16,13,17,17
7,7,9,A,A,4,F,26,,16,19,16,16,16,18,18,17
3C,3C,A,4,4,4,8,8,,,,,,,, , 
3C,3C,A,4,4,4,8,8,,,,,,,, , 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,,,,,,,,,10,,,,,,,
1,"Cannon, Soldiers, Octoroks, Armos Boss",,,,,,,,11,,,,,,,
2,"Guard, Soldier, Knight, Armos Boss",,,,,,,,12,,,,,,,
3,"Cannon, Soldier, Knight, Poe",,,,,,,,13,"Hinox, Pig Soldier, Pig Knight, Like-Like",,,,,,
4,"Guard, Soldiers, Octoroks, Crabs",,,,,,,,14,"Hinox, Pig Soldier, Pig Knight, Lynel",,,,,,
5,"Guard, Soldiers, Octoroks, Tektites",,,,,,,,15,Poe,Pig Soldier,,Pig Knight,,Cuccoo,
6,Villagers Ranch,,,,,,,,16,Hinox,Pig Soldier,,Octorok/Zora/Crab,,,Raven/Buzzblob
7,"Thief, Soldier, Villagers, Raven",,,,,,,,17,"Hinox, Pig Soldier, Pig Knight, Raven/Buzzblob/Sea Urchin",,,,,,
8,"Cannon, Guard, Desert, None",,,,,,,,18,,,,,,,
9,"Kydrog, Farore Cutscene",,,,,,,,19,,,,,,,
A,"Dog, Soldier, Villagers, Villagers",,,,,,,,1A,,,,,,,
B,"Guard, Soldier, Octoroks, None",,,,,,,,1B,,,,,,,
C,,,,,,,,,1C,,,,,,,
D,"Guard, Soldier, Potion Shop, Raven",,,,,,,,1D,,,,,,,
E,"Objects, Pig Soldier, Octoroks, Zora King",,,,,,,,1E,,,,,,,
F,"Anti-Kirby, Soldier, Mask Salesman, None",,,,,,,,1F,,,,,,,
